id,store_zone,store_name,store_mr,store_mr,store_operative,store_sap,store_region
1337,Valle de Mexico,MISC DOS ARBOLITOS,MR0007,MR0007,EULALIA GUZMÁN,100716373,Fresno-Iztacalco
1340,Valle de Mexico,MISC GORY,MR0007,MR0007,EULALIA GUZMÁN,100710112,Fresno-Iztacalco
1341,Valle de Mexico,MISC KARLITA,MR0007,MR0007,EULALIA GUZMÁN,100701171,Fresno-Iztacalco
1342,Valle de Mexico,MISC LA AURORA,MR0007,MR0007,EULALIA GUZMÁN,101703618,Fresno-Iztacalco
1345,Valle de Mexico,PUNTO CENTRAL,MR0007,MR0007,EULALIA GUZMÁN,104305165,Fresno-Iztacalco
1346,Valle de Mexico,MISC LA ESCONDIDA II,MR0007,MR0007,EULALIA GUZMÁN,110140117,Fresno-Iztacalco
1347,Valle de Mexico,MISC LA ESTRELLA,MR0007,MR0007,EULALIA GUZMÁN,110275645,Fresno-Iztacalco
1348,Valle de Mexico,MISC LA GUADALUPANA,MR0007,MR0007,EULALIA GUZMÁN,110145925,Fresno-Iztacalco
1350,Valle de Mexico,MISC LA LUPITA,MR0007,MR0007,EULALIA GUZMÁN,104701450,Fresno-Iztacalco
1353,Valle de Mexico,MISC LAS MARGARITAS,MR0007,MR0007,EULALIA GUZMÁN,104308620,Fresno-Iztacalco
1354,Valle de Mexico,MISC MARTINCITO,MR0007,MR0007,EULALIA GUZMÁN,110071582,Fresno-Iztacalco
1355,Valle de Mexico,MISC MI LUPITA,MR0007,MR0007,EULALIA GUZMÁN,101001654,Fresno-Iztacalco
1356,Valle de Mexico,MISC PATY,MR0007,MR0007,EULALIA GUZMÁN,100702053,Fresno-Iztacalco
1358,Valle de Mexico,MISC RICHI,MR0007,MR0007,EULALIA GUZMÁN,110194698,Fresno-Iztacalco
1359,Valle de Mexico,MISC SAN JUAN,MR0007,MR0007,EULALIA GUZMÁN,110289202,Fresno-Iztacalco
1361,Valle de Mexico,MISC SUPERSITO,MR0007,MR0007,EULALIA GUZMÁN,100712279,Fresno-Iztacalco
1363,Valle de Mexico,MISC Y ABTS ANTONIO PEREZ,MR0007,MR0007,EULALIA GUZMÁN,104308846,Fresno-Iztacalco
1365,Valle de Mexico,MISC YOLISTLI,MR0007,MR0007,EULALIA GUZMÁN,110264992,Fresno-Iztacalco
1367,Valle de Mexico,POLLERIA PEPE,MR0007,MR0007,EULALIA GUZMÁN,110049439,Fresno-Iztacalco
1369,Valle de Mexico,SUPER FARM NATHALY,MR0007,MR0007,EULALIA GUZMÁN,110021133,Fresno-Iztacalco
1370,Valle de Mexico,TIENDA LA ESQUINA,MR0007,MR0007,EULALIA GUZMÁN,120256087,Fresno-Iztacalco
1375,Valle de Mexico,VINOS Y LIC ESMERALDA,MR0007,MR0007,EULALIA GUZMÁN,100708713,Fresno-Iztacalco
1378,Valle de Mexico,14 MART,MR0007,MR0007,EULALIA GUZMÁN,120301653,Fresno-Iztacalco
1381,Valle de Mexico,ABARROTES BUCHO,MR0007,MR0007,EULALIA GUZMÁN,120356763,Fresno-Iztacalco
1384,Valle de Mexico,ABARROTES ESMERALDA,MR0007,MR0007,EULALIA GUZMÁN,120328313,Fresno-Iztacalco
1387,Valle de Mexico,ABARROTES KATANA,MR0007,MR0007,EULALIA GUZMÁN,120375000,Fresno-Iztacalco
1392,Valle de Mexico,ABARROTES MARGO,MR0007,MR0007,EULALIA GUZMÁN,120326593,Fresno-Iztacalco
1395,Valle de Mexico,ABARROTES MOTOMAMI,MR0007,MR0007,EULALIA GUZMÁN,120330491,Fresno-Iztacalco
1396,Valle de Mexico,ABARROTES RAMIREZ,MR0007,MR0007,EULALIA GUZMÁN,120332563,Fresno-Iztacalco
1397,Valle de Mexico,ABARROTES SARAI,MR0007,MR0007,EULALIA GUZMÁN,120349658,Fresno-Iztacalco
1398,Valle de Mexico,ABARROTES TITOS,MR0007,MR0007,EULALIA GUZMÁN,120238258,Fresno-Iztacalco
1400,Valle de Mexico,ABARROTES Y VINOS LA CHIQUITA,MR0007,MR0007,EULALIA GUZMÁN,120240850,Fresno-Iztacalco
1401,Valle de Mexico,ABRS NANA,MR0007,MR0007,EULALIA GUZMÁN,120322486,Fresno-Iztacalco
1404,Valle de Mexico,ABTES VANESSA,MR0007,MR0007,EULALIA GUZMÁN,120191897,Fresno-Iztacalco
1407,Valle de Mexico,ABTS ALICIA,MR0007,MR0007,EULALIA GUZMÁN,101003929,Fresno-Iztacalco
1409,Valle de Mexico,ABTS EL PROGRESO,MR0007,MR0007,EULALIA GUZMÁN,102704691,Fresno-Iztacalco
1410,Valle de Mexico,ABTS ESCOBEDO,MR0007,MR0007,EULALIA GUZMÁN,110124207,Fresno-Iztacalco
1412,Valle de Mexico,ABTS  LUPITA,MR0005,MR0005,IZTACALCO ADLA,120132537,Fresno-Iztacalco
1413,Valle de Mexico,ABTS MARIA LUISA,MR0007,MR0007,EULALIA GUZMÁN,101003943,Fresno-Iztacalco
1414,Valle de Mexico,ABTS MINA Y ANIS,MR0007,MR0007,EULALIA GUZMÁN,100710472,Fresno-Iztacalco
1415,Valle de Mexico,ABTS OLVERA,MR0007,MR0007,EULALIA GUZMÁN,120180160,Fresno-Iztacalco
1420,Valle de Mexico,ABTS AKI,MR0007,MR0007,EULALIA GUZMÁN,120158916,Fresno-Iztacalco
1422,Valle de Mexico,ABTS ALE,MR0007,MR0007,EULALIA GUZMÁN,102703450,Fresno-Iztacalco
1423,Valle de Mexico,ABTS ALEJANDRA,MR0007,MR0007,EULALIA GUZMÁN,110050873,Fresno-Iztacalco
1426,Valle de Mexico,ABTS ALEXIS HAYDEE,MR0007,MR0007,EULALIA GUZMÁN,102702350,Fresno-Iztacalco
1427,Valle de Mexico,ABTS ALFA,MR0007,MR0007,EULALIA GUZMÁN,110060693,Fresno-Iztacalco
1428,Valle de Mexico,ABTS ALLENDE,MR0007,MR0007,EULALIA GUZMÁN,102703400,Fresno-Iztacalco
1429,Valle de Mexico,ABTS AMERICA,MR0007,MR0007,EULALIA GUZMÁN,110087264,Fresno-Iztacalco
1431,Valle de Mexico,ABTS ANDREA,MR0007,MR0007,EULALIA GUZMÁN,120179955,Fresno-Iztacalco
1432,Valle de Mexico,ABTS ANDY,MR0007,MR0007,EULALIA GUZMÁN,120063634,Fresno-Iztacalco
1434,Valle de Mexico,ABTS ANGEL,MR0007,MR0007,EULALIA GUZMÁN,110003184,Fresno-Iztacalco
1437,Valle de Mexico,ABTS ATZIN,MR0007,MR0007,EULALIA GUZMÁN,101002474,Fresno-Iztacalco
1443,Valle de Mexico,ABTS CASA FELIPE,MR0007,MR0007,EULALIA GUZMÁN,110233639,Fresno-Iztacalco
1444,Valle de Mexico,ABTS CASA GUZMAN,MR0007,MR0007,EULALIA GUZMÁN,101002076,Fresno-Iztacalco
1445,Valle de Mexico,ABTS CASTILLO,MR0007,MR0007,EULALIA GUZMÁN,101303402,Fresno-Iztacalco
1449,Valle de Mexico,ABTS CHENTS,MR0007,MR0007,EULALIA GUZMÁN,100300106,Fresno-Iztacalco
1454,Valle de Mexico,ABTS CONASUPO,MR0007,MR0007,EULALIA GUZMÁN,101703918,Fresno-Iztacalco
1455,Valle de Mexico,ABTS CONDESA,MR0007,MR0007,EULALIA GUZMÁN,120211630,Fresno-Iztacalco
1456,Valle de Mexico,ABTS COOL BEER,MR0007,MR0007,EULALIA GUZMÁN,100717786,Fresno-Iztacalco
1460,Valle de Mexico,ABTS DAVID,MR0007,MR0007,EULALIA GUZMÁN,120206356,Fresno-Iztacalco
1461,Valle de Mexico,ABTS DAYANA,MR0007,MR0007,EULALIA GUZMÁN,120138924,Fresno-Iztacalco
1462,Valle de Mexico,ABTS DE LA CRUZ,MR0007,MR0007,EULALIA GUZMÁN,120087111,Fresno-Iztacalco
1464,Valle de Mexico,ABTS DOMINGUEZ,MR0007,MR0007,EULALIA GUZMÁN,101002411,Fresno-Iztacalco
1465,Valle de Mexico,ABTS DON BETO,MR0007,MR0007,EULALIA GUZMÁN,100700068,Fresno-Iztacalco
1467,Valle de Mexico,ABTS DON FER,MR0007,MR0007,EULALIA GUZMÁN,102705335,Fresno-Iztacalco
1469,Valle de Mexico,ABTS DON JOSE,MR0007,MR0007,EULALIA GUZMÁN,102703037,Fresno-Iztacalco
1470,Valle de Mexico,ABTS DON JUAN,MR0007,MR0007,EULALIA GUZMÁN,120137188,Fresno-Iztacalco
1471,Valle de Mexico,ABTS DON PANCHO,MR0007,MR0007,EULALIA GUZMÁN,120096100,Fresno-Iztacalco
1472,Valle de Mexico,ABTS DON RAZO,MR0007,MR0007,EULALIA GUZMÁN,110300611,Fresno-Iztacalco
1473,Valle de Mexico,ABTS DON TOBIS,MR0007,MR0007,EULALIA GUZMÁN,101300100,Fresno-Iztacalco
1475,Valle de Mexico,ABTS DUARTE,MR0007,MR0007,EULALIA GUZMÁN,120005692,Fresno-Iztacalco
1477,Valle de Mexico,ABTS EBENEZER,MR0007,MR0007,EULALIA GUZMÁN,101004110,Fresno-Iztacalco
1478,Valle de Mexico,ABTS EBENEZER,MR0007,MR0007,EULALIA GUZMÁN,120178563,Fresno-Iztacalco
1479,Valle de Mexico,ABTS EDDYVALDO,MR0007,MR0007,EULALIA GUZMÁN,120040459,Fresno-Iztacalco
1480,Valle de Mexico,ABTS EL AMIGO,MR0007,MR0007,EULALIA GUZMÁN,101001634,Fresno-Iztacalco
1481,Valle de Mexico,ABTS EL BIGOS,MR0007,MR0007,EULALIA GUZMÁN,104301660,Fresno-Iztacalco
1488,Valle de Mexico,ABTS EL DIAMANTE,MR0007,MR0007,EULALIA GUZMÁN,101704150,Fresno-Iztacalco
1489,Valle de Mexico,ABTS EL DIEZ,MR0007,MR0007,EULALIA GUZMÁN,120080083,Fresno-Iztacalco
1491,Valle de Mexico,ABTS EL FANTASMA,MR0007,MR0007,EULALIA GUZMÁN,101708027,Fresno-Iztacalco
1492,Valle de Mexico,ABARROTES LA 304,MR0007,MR0007,EULALIA GUZMÁN,100718086,Fresno-Iztacalco
1494,Valle de Mexico,ABTS EL FUTURO,MR0007,MR0007,EULALIA GUZMÁN,120107388,Fresno-Iztacalco
1496,Valle de Mexico,ABTS EL GRAN MAPACHE III,MR0007,MR0007,EULALIA GUZMÁN,100702877,Fresno-Iztacalco
1498,Valle de Mexico,ABTS EL JOVEN,MR0007,MR0007,EULALIA GUZMÁN,101002421,Fresno-Iztacalco
1499,Valle de Mexico,ABTS EL LEGADO,MR0007,MR0007,EULALIA GUZMÁN,120314770,Fresno-Iztacalco
1500,Valle de Mexico,ABTS EL MAGO,MR0007,MR0007,EULALIA GUZMÁN,120321774,Fresno-Iztacalco
1501,Valle de Mexico,ABTS EL MÁS,MR0007,MR0007,EULALIA GUZMÁN,120008672,Fresno-Iztacalco
1502,Valle de Mexico,ABTS EL MEXICANITO,MR0007,MR0007,EULALIA GUZMÁN,120141799,Fresno-Iztacalco
1505,Valle de Mexico,ABTS EL PASAJE,MR0007,MR0007,EULALIA GUZMÁN,100709736,Fresno-Iztacalco
1506,Valle de Mexico,ABTS EL PINGO,MR0007,MR0007,EULALIA GUZMÁN,101004213,Fresno-Iztacalco
1507,Valle de Mexico,ABTS EL PORVENIR,MR0007,MR0007,EULALIA GUZMÁN,102704559,Fresno-Iztacalco
1512,Valle de Mexico,ABTS EL TRIUNFO,MR0007,MR0007,EULALIA GUZMÁN,102703020,Fresno-Iztacalco
1513,Valle de Mexico,ABTS EL UNIVERSO,MR0007,MR0007,EULALIA GUZMÁN,100701815,Fresno-Iztacalco
1516,Valle de Mexico,ABTS ELI,MR0007,MR0007,EULALIA GUZMÁN,102704967,Fresno-Iztacalco
1519,Valle de Mexico,ABTS ESCOBEDO,MR0007,MR0007,EULALIA GUZMÁN,120203364,Fresno-Iztacalco
1520,Valle de Mexico,ABTS ESMERALDA,MR0007,MR0007,EULALIA GUZMÁN,101001637,Fresno-Iztacalco
1522,Valle de Mexico,ABTS ESTRELLA,MR0007,MR0007,EULALIA GUZMÁN,110093438,Fresno-Iztacalco
1523,Valle de Mexico,ABTS FLOR,MR0007,MR0007,EULALIA GUZMÁN,100305345,Fresno-Iztacalco
1524,Valle de Mexico,ABTS FRUTAS Y VERD LA ESQUINA,MR0007,MR0007,EULALIA GUZMÁN,110071887,Fresno-Iztacalco
1525,Valle de Mexico,ABTS GABY,MR0007,MR0007,EULALIA GUZMÁN,102702389,Fresno-Iztacalco
1527,Valle de Mexico,ABTS GABY,MR0007,MR0007,EULALIA GUZMÁN,120197787,Fresno-Iztacalco
1528,Valle de Mexico,ABTS GAJOS,MR0007,MR0007,EULALIA GUZMÁN,100705614,Fresno-Iztacalco
1530,Valle de Mexico,ABTS GAMA,MR0007,MR0007,EULALIA GUZMÁN,100715213,Fresno-Iztacalco
1532,Valle de Mexico,ABTS GIEDOS,MR0007,MR0007,EULALIA GUZMÁN,120251754,Fresno-Iztacalco
1533,Valle de Mexico,ABTS GOLIAT,MR0007,MR0007,EULALIA GUZMÁN,120134823,Fresno-Iztacalco
1534,Valle de Mexico,ABTS GONZALEZ HERMANOS,MR0007,MR0007,EULALIA GUZMÁN,101700402,Fresno-Iztacalco
1535,Valle de Mexico,ABTS GUADALAJARA,MR0007,MR0007,EULALIA GUZMÁN,110206723,Fresno-Iztacalco
1536,Valle de Mexico,CREM Y ABTS VALLEJO,MR0007,MR0007,EULALIA GUZMÁN,120205124,Fresno-Iztacalco
1537,Valle de Mexico,ABTS HERMANOS DE LA CRUZ,MR0007,MR0007,EULALIA GUZMÁN,104313470,Fresno-Iztacalco
1539,Valle de Mexico,ABTS HERMANOS TORRES,MR0007,MR0007,EULALIA GUZMÁN,110126421,Fresno-Iztacalco
1542,Valle de Mexico,ABTS HUICHAPAN,MR0007,MR0007,EULALIA GUZMÁN,101703415,Fresno-Iztacalco
1544,Valle de Mexico,ABTS IDEAL,MR0007,MR0007,EULALIA GUZMÁN,120051573,Fresno-Iztacalco
1546,Valle de Mexico,ABTS INSURGENTES,MR0007,MR0007,EULALIA GUZMÁN,110252924,Fresno-Iztacalco
1547,Valle de Mexico,ABTS IRMA,MR0007,MR0007,EULALIA GUZMÁN,100701669,Fresno-Iztacalco
1548,Valle de Mexico,ABTS ISRRAEL,MR0007,MR0007,EULALIA GUZMÁN,100708877,Fresno-Iztacalco
1550,Valle de Mexico,ABTS JESSY,MR0007,MR0007,EULALIA GUZMÁN,120162939,Fresno-Iztacalco
1551,Valle de Mexico,ABTS JIRETH,MR0007,MR0007,EULALIA GUZMÁN,120293454,Fresno-Iztacalco
1553,Valle de Mexico,ABTS JORGE,MR0007,MR0007,EULALIA GUZMÁN,101007132,Fresno-Iztacalco
1557,Valle de Mexico,ABTS KAIS,MR0007,MR0007,EULALIA GUZMÁN,110267311,Fresno-Iztacalco
1558,Valle de Mexico,ABTS KARISMA,MR0007,MR0007,EULALIA GUZMÁN,104700741,Fresno-Iztacalco
1559,Valle de Mexico,ABTS KATTOS,MR0007,MR0007,EULALIA GUZMÁN,120267849,Fresno-Iztacalco
1560,Valle de Mexico,ABTS KENNY ASLHEY,MR0007,MR0007,EULALIA GUZMÁN,100707256,Fresno-Iztacalco
1562,Valle de Mexico,ABTS LA AGRICULTURA 2,MR0007,MR0007,EULALIA GUZMÁN,110143911,Fresno-Iztacalco
1563,Valle de Mexico,ABTS LA ALTENA,MR0007,MR0007,EULALIA GUZMÁN,100717389,Fresno-Iztacalco
1565,Valle de Mexico,ABTS LA AZUCENA,MR0007,MR0007,EULALIA GUZMÁN,101002955,Fresno-Iztacalco
1566,Valle de Mexico,ABTS LA BARATA,MR0007,MR0007,EULALIA GUZMÁN,101002074,Fresno-Iztacalco
1567,Valle de Mexico,BINGO,MR0007,MR0007,EULALIA GUZMÁN,110209436,Fresno-Iztacalco
1569,Valle de Mexico,EL NUEVO FENIX,MR0007,MR0007,EULALIA GUZMÁN,101002205,Fresno-Iztacalco
1571,Valle de Mexico,ABTS LA CAPILLA,MR0007,MR0007,EULALIA GUZMÁN,110024270,Fresno-Iztacalco
1572,Valle de Mexico,ABTS LA CARMELITA,MR0007,MR0007,EULALIA GUZMÁN,104701219,Fresno-Iztacalco
1575,Valle de Mexico,ABTS LA CASTELLANA,MR0007,MR0007,EULALIA GUZMÁN,110074752,Fresno-Iztacalco
1578,Valle de Mexico,ABTS LA CENTRAL,MR0007,MR0007,EULALIA GUZMÁN,110099437,Fresno-Iztacalco
1579,Valle de Mexico,ABTS LA CHATA,MR0007,MR0007,EULALIA GUZMÁN,120355376,Fresno-Iztacalco
1583,Valle de Mexico,ABTS LA COLMENA,MR0007,MR0007,EULALIA GUZMÁN,104304047,Fresno-Iztacalco
1584,Valle de Mexico,ABTS LA COPA DE ORO,MR0007,MR0007,EULALIA GUZMÁN,102704117,Fresno-Iztacalco
1585,Valle de Mexico,ABTS LA CORONA,MR0007,MR0007,EULALIA GUZMÁN,100703649,Fresno-Iztacalco
1586,Valle de Mexico,ABTS LA CORTESIA,MR0007,MR0007,EULALIA GUZMÁN,102702575,Fresno-Iztacalco
1589,Valle de Mexico,ABTS LA DIVINA PROVIDENCIA,MR0007,MR0007,EULALIA GUZMÁN,102705461,Fresno-Iztacalco
1593,Valle de Mexico,ABTS LA ESMERALDA,MR0007,MR0007,EULALIA GUZMÁN,102704696,Fresno-Iztacalco
1596,Valle de Mexico,ABTS LA ESPERANZA,MR0007,MR0007,EULALIA GUZMÁN,110046435,Fresno-Iztacalco
1597,Valle de Mexico,ABTS LA ESQUINA,MR0007,MR0007,EULALIA GUZMÁN,110291568,Fresno-Iztacalco
1598,Valle de Mexico,ABTS LA ESQUINA,MR0007,MR0007,EULALIA GUZMÁN,120116701,Fresno-Iztacalco
1599,Valle de Mexico,ABTS LA ESQUINITA,MR0007,MR0007,EULALIA GUZMÁN,120203668,Fresno-Iztacalco
1602,Valle de Mexico,ABTS LA FAVORITA,MR0007,MR0007,EULALIA GUZMÁN,110239682,Fresno-Iztacalco
1603,Valle de Mexico,ABTS LA POPULAR,MR0007,MR0007,EULALIA GUZMÁN,120047014,Fresno-Iztacalco
1604,Valle de Mexico,ABTS LA FE,MR0007,MR0007,EULALIA GUZMÁN,101004028,Fresno-Iztacalco
1607,Valle de Mexico,ABTS LA FORTALEZA,MR0007,MR0007,EULALIA GUZMÁN,101003204,Fresno-Iztacalco
1608,Valle de Mexico,ABTS LA GLORIA,MR0007,MR0007,EULALIA GUZMÁN,101001674,Fresno-Iztacalco
1609,Valle de Mexico,ABTS LA GRAN UNION,MR0007,MR0007,EULALIA GUZMÁN,104301739,Fresno-Iztacalco
1611,Valle de Mexico,ABTS LA GUADALUPANA,MR0007,MR0007,EULALIA GUZMÁN,100701434,Fresno-Iztacalco
1612,Valle de Mexico,ABTS LA GUADALUPANA,MR0007,MR0007,EULALIA GUZMÁN,110196650,Fresno-Iztacalco
1613,Valle de Mexico,ABTS LA GUERA,MR0007,MR0007,EULALIA GUZMÁN,120347565,Fresno-Iztacalco
1617,Valle de Mexico,ABTS LA LUCHA,MR0007,MR0007,EULALIA GUZMÁN,101002428,Fresno-Iztacalco
1618,Valle de Mexico,ABTS LA LUNA,MR0007,MR0007,EULALIA GUZMÁN,110287165,Fresno-Iztacalco
1619,Valle de Mexico,ABTS LA LUNA,MR0007,MR0007,EULALIA GUZMÁN,120219730,Fresno-Iztacalco
1620,Valle de Mexico,ABTS LA LUZ DEL DIA,MR0007,MR0007,EULALIA GUZMÁN,101004087,Fresno-Iztacalco
1622,Valle de Mexico,ABTS LA MICHOACANA,MR0007,MR0007,EULALIA GUZMÁN,102704975,Fresno-Iztacalco
1623,Valle de Mexico,ABTS LA MICHOACANA,MR0007,MR0007,EULALIA GUZMÁN,120161058,Fresno-Iztacalco
1624,Valle de Mexico,ABTS LA MODERNA,MR0007,MR0007,EULALIA GUZMÁN,102304431,Fresno-Iztacalco
1627,Valle de Mexico,ABTS LA NEGRITA,MR0007,MR0007,EULALIA GUZMÁN,110230980,Fresno-Iztacalco
1629,Valle de Mexico,ABTS LA NUEVA,MR0007,MR0007,EULALIA GUZMÁN,120023669,Fresno-Iztacalco
1631,Valle de Mexico,ABTS LA NUEVA,MR0007,MR0007,EULALIA GUZMÁN,120188620,Fresno-Iztacalco
1632,Valle de Mexico,ABTS LA NUEVA,MR0007,MR0007,EULALIA GUZMÁN,120287173,Fresno-Iztacalco
1633,Valle de Mexico,ABTS LA NUEVA AZTECA,MR0007,MR0007,EULALIA GUZMÁN,102700470,Fresno-Iztacalco
1635,Valle de Mexico,ABTS LA NUEVA ESTRELLA,MR0000,MR0000,CEDIS NORTE,101702644,Cedis Norte
1640,Valle de Mexico,ABTS LA PREFERIDA,MR0007,MR0007,EULALIA GUZMÁN,101704995,Fresno-Iztacalco
1647,Valle de Mexico,ABTS LA ROSITA,MR0007,MR0007,EULALIA GUZMÁN,100701757,Fresno-Iztacalco
1649,Valle de Mexico,MINI SUPER QUE TOTO,MR0007,MR0007,EULALIA GUZMÁN,100720162,Fresno-Iztacalco
1650,Valle de Mexico,ABTS LA SAUCEDA,MR0007,MR0007,EULALIA GUZMÁN,100721488,Fresno-Iztacalco
1651,Valle de Mexico,ABTS LA SIETE,MR0007,MR0007,EULALIA GUZMÁN,110256106,Fresno-Iztacalco
1653,Valle de Mexico,ABTS LA TIA,MR0007,MR0007,EULALIA GUZMÁN,101005109,Fresno-Iztacalco
1654,Valle de Mexico,ABTS LA TIENDITA DE BARRIO,MR0007,MR0007,EULALIA GUZMÁN,120188000,Fresno-Iztacalco
1656,Valle de Mexico,ABTS LA TIENDITA DEL COMPADRE,MR0007,MR0007,EULALIA GUZMÁN,100700924,Fresno-Iztacalco
1658,Valle de Mexico,ABTS LA UNION,MR0007,MR0007,EULALIA GUZMÁN,120191908,Fresno-Iztacalco
